gene,Fish_kME
isogroup10599,0
isogroup106,0.500373523518485
isogroup1060,0.824443136330443
isogroup10601,0
isogroup10602,0
isogroup10604,0
isogroup10605,0
isogroup10607,0
isogroup10608,0
isogroup10609,0
isogroup1061,0.471119444468483
isogroup10610,0.452206715955384
isogroup10611,0.132593994008455
isogroup10613,0
isogroup10614,0
isogroup10615,0
isogroup10617,0
isogroup10619,0
isogroup1062,0.261427378588389
isogroup10622,0
isogroup10624,0
isogroup10625,0.801622793905451
isogroup10626,0
isogroup1063,0.857028799715653
isogroup10632,0
isogroup10633,0
isogroup10634,0.448508582260392
isogroup10635,0
isogroup10636,0
isogroup10637,0.34870399154219
isogroup10638,0
isogroup10639,0
isogroup1064,0
isogroup10640,0
isogroup10641,0
isogroup10644,0
isogroup10645,0.949689564621941
isogroup10647,0
isogroup10648,0
isogroup10649,0
isogroup1065,0
isogroup10650,0
isogroup10654,0
isogroup10655,0
isogroup10656,0
isogroup10660,0
isogroup10663,0
isogroup1067,0
isogroup10674,0
isogroup10677,0
isogroup1068,0.65345628896337
isogroup10681,0
isogroup10682,0
isogroup10687,0
isogroup10689,0
isogroup10690,0
isogroup10691,0
isogroup10692,0
isogroup10693,0
isogroup10694,0
isogroup10699,0
isogroup107,0
isogroup1070,0.725127639716624
isogroup10702,0
isogroup10703,0
isogroup10704,0
isogroup10705,0
isogroup10706,0
isogroup1071,0
isogroup10711,0
isogroup10712,0
isogroup10713,0
isogroup10714,0
isogroup10716,0
isogroup10719,0
isogroup1072,0
isogroup10722,0
isogroup10726,0
isogroup10727,0
isogroup10728,0
isogroup10729,0.0790549267082171
isogroup10732,0
isogroup10733,0
isogroup10734,0
isogroup10735,0.363988270821867
isogroup10736,0
isogroup10738,0
isogroup1074,0
isogroup10741,0
isogroup10743,0
isogroup10746,0
isogroup10749,0.44584363004309
isogroup1075,0
isogroup10753,0
isogroup10755,0
isogroup1076,0.588230850702218
isogroup10760,0
isogroup10761,0
isogroup10762,0
isogroup10764,0
isogroup10765,0
isogroup10766,0
isogroup10767,0
isogroup10768,0
isogroup1077,0.22888506104704
isogroup1078,0
isogroup10781,0.809268371096367
isogroup10782,0
isogroup10787,0
isogroup10790,0.443453885441115
isogroup10793,0
isogroup10794,0
isogroup10795,0.507767623960287
isogroup10797,0
isogroup10799,0
isogroup1080,0
isogroup10800,0
isogroup10801,0
isogroup10802,0
isogroup10807,0
isogroup10808,0
isogroup1081,0
isogroup10812,0
isogroup10815,0
isogroup10818,0
isogroup10819,0.47485163200938
isogroup1082,0
isogroup10821,0
isogroup10823,0
isogroup10826,0
isogroup10827,0
isogroup1083,0
isogroup10832,0.492487925791666
isogroup10833,0
isogroup10834,0
isogroup10837,0
isogroup10840,0
isogroup10841,0
isogroup10846,0
isogroup10847,0
isogroup10848,0.268703149757005
isogroup1085,0.659158134387127
isogroup10857,0
isogroup10861,0
isogroup10862,0
isogroup10865,0
isogroup10867,0
isogroup1087,0.537485351054475
isogroup10873,0
isogroup10874,0
isogroup10878,0
isogroup1088,0.776723110986872
isogroup10885,0
isogroup10889,0
isogroup1089,0.65315734574182
isogroup10893,0
isogroup10896,0
isogroup109,0
isogroup10900,0
isogroup10901,0.616188640300636
isogroup10902,0
isogroup10903,0
isogroup10905,0.372635842029117
isogroup10908,0
isogroup10909,0
isogroup1091,0.522197611063583
isogroup10910,0.652223674549219
isogroup10912,0
isogroup10915,0
isogroup10918,0
isogroup1092,0
isogroup10920,0
isogroup10923,0
isogroup10926,0.475400923279117
isogroup1093,0
isogroup10934,0
isogroup10938,0
isogroup10940,0
isogroup10943,0
isogroup1095,0.784015543789439
isogroup10951,0.540749518603785
isogroup10954,0
isogroup10955,0
isogroup10958,0.435300109035726
isogroup10962,0.536636055165031
isogroup10963,0
isogroup10965,0
isogroup10966,0
isogroup10967,0
isogroup1097,0
isogroup10974,0
isogroup10976,0
isogroup10978,0
isogroup10979,0
isogroup1098,0
isogroup10981,0
isogroup10983,0
isogroup10985,0
isogroup10986,0
isogroup10988,0
isogroup10990,0
isogroup10993,0.331208173644042
isogroup10994,0
isogroup10995,0
isogroup10996,0
isogroup10997,0
isogroup11,0.822191352597745
isogroup110,0.732884264798
isogroup1100,0
isogroup11004,0
isogroup11005,0
isogroup11006,0
isogroup11007,0
isogroup11008,0
isogroup1101,0.384650070680152
isogroup11014,0
isogroup11019,0.402061967948933
isogroup11020,0
isogroup11024,0
isogroup11025,0
isogroup11026,0
isogroup11028,0.680528229464673
isogroup11029,0
isogroup1103,0
isogroup11031,0
isogroup11033,0.501031966528833
isogroup11038,0
isogroup11039,0
isogroup1104,0.765658480049217
isogroup11040,0.432051584662576
isogroup11043,0
isogroup11044,0
isogroup11047,0
isogroup1105,0
isogroup11050,0
isogroup11051,0
isogroup11052,0
isogroup11053,0
isogroup11054,0
isogroup11055,0
isogroup11056,0
isogroup11057,0
isogroup11059,0
isogroup1106,0
isogroup11061,0
isogroup11063,0
isogroup11064,0
isogroup11066,0
isogroup11068,0
isogroup11069,0
isogroup1107,0
isogroup11071,0
isogroup11072,0.426621021237075
isogroup1108,0
isogroup11081,0
isogroup11083,0
isogroup11088,0
isogroup1109,0.672703106160104
isogroup11091,0
isogroup11094,0
isogroup11098,0
isogroup11101,0.765660729559366
isogroup11102,0.773311814208615
isogroup11103,0.453479595418348
isogroup11104,0
isogroup11105,0
isogroup11106,0
isogroup11107,0
isogroup11109,0
isogroup1111,0
isogroup11110,0
isogroup11111,0
isogroup11115,0
isogroup11119,0
isogroup11126,0
isogroup1113,0
isogroup11130,0
isogroup11131,0
isogroup11132,0
isogroup11134,0
isogroup11140,0.138617474409559
isogroup11142,0
isogroup11144,0
isogroup11149,0
isogroup1115,0
isogroup11154,0
isogroup11155,0.264691483958418
isogroup11156,0.755035466679994
isogroup11157,0
isogroup11159,0
isogroup11161,0
isogroup11163,0
isogroup1117,0
isogroup11170,0
isogroup11171,0
isogroup11172,0
isogroup11173,0
isogroup11177,0
isogroup11178,0
isogroup1118,0.658090236526695
isogroup11180,0
isogroup11182,0
isogroup11184,0
isogroup11186,0
isogroup11187,0.472934342006574
isogroup1119,0.869176555807673
isogroup11196,0
isogroup112,0.875993883254626
isogroup1120,0
isogroup11201,0
isogroup11203,0
isogroup11205,0
isogroup11207,0.355806603959121
isogroup11209,0
isogroup11211,0
isogroup11212,0
isogroup11215,0
isogroup11216,0
isogroup11217,0
isogroup11218,0
isogroup11219,0.44021894866182
isogroup11220,0
isogroup11221,0
isogroup11222,0
isogroup11223,0
isogroup11225,0
isogroup11226,0.242335132890009
isogroup11229,0
isogroup11232,0
isogroup11233,0
isogroup11239,0
isogroup1124,0.682749659542714
isogroup11242,0
isogroup11243,0
isogroup11248,0
isogroup11249,0
isogroup1125,0.596642303540276
isogroup11251,0
isogroup11254,0
isogroup11255,0
isogroup11256,0
isogroup1126,0
isogroup11260,0
isogroup11264,0
isogroup11267,0
isogroup1127,0.639999030132554
isogroup11270,0
isogroup11274,0
isogroup11276,0
isogroup11279,0
isogroup1128,0.374409257377616
isogroup11281,0
isogroup11285,0
isogroup11287,0
isogroup11289,0
isogroup1129,0
isogroup11294,0
isogroup11297,0
isogroup11298,0
isogroup11303,0
isogroup11304,0
isogroup11307,0.457441182642099
isogroup11308,0
isogroup11311,0
isogroup11313,0
isogroup11315,0
isogroup11317,0
isogroup11319,0
isogroup1132,0
isogroup11320,0
isogroup11322,0
isogroup11323,0
isogroup11327,0
isogroup11330,0
isogroup11331,0
isogroup11339,0
isogroup11343,0.805364901300961
isogroup11347,0
isogroup1135,0
isogroup11354,0
isogroup11355,0.428850298083568
isogroup11356,0
isogroup11359,0
isogroup11360,0
isogroup11361,0
isogroup11362,0.434374734642479
isogroup11366,0
isogroup11367,0
isogroup11368,0
isogroup11369,0
isogroup1137,0
isogroup11371,0
isogroup11377,0
isogroup1138,0.210230956713704
isogroup11381,0
isogroup11382,0
isogroup11384,0
isogroup11387,0
isogroup11388,0
isogroup11389,0
isogroup11393,0
isogroup11395,0.265529271291334
isogroup11396,0
isogroup114,0
isogroup1140,0
isogroup11407,0
isogroup11409,0
isogroup11410,0
isogroup11411,0
isogroup11412,0
isogroup11413,0
isogroup11416,0.699405585760213
isogroup11417,0
isogroup11418,0
isogroup1142,0.630911829119566
isogroup11420,0
isogroup11421,0
isogroup11422,0
isogroup11423,0
isogroup11425,0
isogroup11428,0
isogroup11429,0
isogroup1143,0.606620538071089
isogroup11432,0
isogroup11435,0
isogroup11437,0
isogroup11438,0
isogroup11439,0
isogroup11440,0
isogroup11441,0
isogroup11442,0
isogroup11444,0
isogroup11447,0.537262703362709
isogroup11454,0
isogroup11455,0
isogroup11456,0
isogroup11462,0
isogroup11465,0
isogroup11466,0.710616831481908
isogroup11468,0.728722397256268
isogroup11471,0
isogroup11473,0.733567983661736
isogroup11474,0
isogroup11475,0
isogroup11479,0
isogroup1148,0
isogroup11480,0
isogroup11483,0
isogroup11486,0
isogroup11487,0
isogroup1149,0.636255603593446
isogroup11490,0
isogroup11492,0.151855241680409
isogroup11493,0
isogroup11494,0
isogroup115,0
isogroup11505,0
isogroup11508,0
isogroup11511,0
isogroup11514,0.712138833466959
isogroup11516,0
isogroup11519,0
isogroup1152,0
isogroup11520,0
isogroup11525,0
isogroup11527,0.708064254333091
isogroup11528,0
isogroup1153,0
isogroup11533,0
isogroup11535,0
isogroup11536,0
isogroup11537,0
isogroup11539,0
isogroup11543,0
isogroup11546,0
isogroup1155,0
isogroup11552,0
isogroup11553,0
isogroup11555,0
isogroup11560,0.72509030887267
isogroup11561,0
isogroup11565,0
isogroup11567,0
isogroup11569,0
isogroup11570,0
isogroup11571,0
isogroup11572,0
isogroup11573,0
isogroup11575,0
isogroup11576,0
isogroup11579,0.540243326600999
isogroup11580,0
isogroup11586,0
isogroup1159,0
isogroup11590,0
isogroup11591,0
isogroup11595,0.395323181083435
isogroup11598,0
isogroup116,0
isogroup11602,0
isogroup11603,0
isogroup11605,0
isogroup11606,0
isogroup11611,0
isogroup11613,0
isogroup11614,0
isogroup11616,0
isogroup11617,0
isogroup11618,0
isogroup11619,0
isogroup1162,0.727527183239113
isogroup11621,0
isogroup11622,0
isogroup11624.1,0
isogroup11625,0
isogroup11626,0
isogroup1163,0
isogroup11630,0.752719835322212
isogroup11634,0
isogroup11635,0
isogroup11636,0
isogroup11637,0
isogroup1164,0.579750220457542
isogroup11640,0
isogroup11641,0
isogroup11642,0.219392169604009
isogroup11643,0
isogroup11647,0
isogroup11648,0
isogroup11649,0.49838912246761
isogroup1165,0
isogroup11655,0
isogroup11656,0.474615793726906
isogroup11658,0
isogroup11659,0
isogroup11661,0.786748588924104
isogroup11662,0
isogroup11667,0.522918240166605
isogroup11672,0
isogroup11674,0
isogroup11675,0
isogroup11677,0
isogroup11678,0
isogroup11679,0.786876909852415
isogroup1168,0
isogroup11682,0
isogroup11683,0
isogroup11685,0
isogroup11688,0
isogroup11691,0
isogroup11693,0
isogroup11695,0.343158323613195
isogroup11697,0
isogroup117,0.658195657493162
isogroup11700,0
isogroup11701,0
isogroup11702,0
isogroup11705,0
isogroup11709,0
isogroup1171,0
isogroup11711,0
isogroup11714,0
isogroup11718,0
isogroup1172,0.826255216710441
isogroup11721,0
isogroup11724,0
isogroup11725,0
isogroup11726,0.425080003147222
isogroup11729,0
isogroup1173,0
isogroup11731,0
isogroup11732,0
isogroup11734,0
isogroup11740,0.844710352159121
isogroup11743,0
isogroup11744,0
isogroup11749,0
isogroup1175,0
isogroup11750,0.590317147629555
isogroup11754,0
isogroup11759,0.76012015127018
isogroup1176,0.586236460533266
isogroup11761,0
isogroup11768,0
isogroup11769,0
isogroup11770,0
isogroup11771,0
isogroup11777,0
isogroup11782,0
isogroup11786,0.686565586680496
isogroup11789,0
isogroup1179,0
isogroup11791,0
isogroup11794,0
isogroup11796,0
isogroup11797,0
isogroup11799,0.692775993637197
isogroup118,0
isogroup1180,0
isogroup11802,0
isogroup11804,0
isogroup11806,0
isogroup11809,0
isogroup11811,0
isogroup11812,0
isogroup11814,0
isogroup11816,0
isogroup11817,0
isogroup11821,0
isogroup11823,0
isogroup11826,0
isogroup1183,0
isogroup11836,0
isogroup11839,0
isogroup1184,0
isogroup11842,0
isogroup11844,0
isogroup11845.1,0
isogroup1185,0.712429260516118
isogroup11854,0
isogroup11855,0
isogroup11857,0
isogroup11859,0
isogroup1186,0.550698254755061
