gene,logP
isogroup20309,0.3
isogroup2031,-0.4
isogroup20310,0.2
isogroup20312,0.8
isogroup20313,0.2
isogroup20314,2.8
isogroup20315,-0.1
isogroup20316,0.1
isogroup20317,2.8
isogroup20318,1.3
isogroup20319,-3.6
isogroup2032,5.1
isogroup20320,1.5
isogroup20321,0
isogroup20322,0.6
isogroup20323,0.5
isogroup20324,-0.1
isogroup20325,0.7
isogroup20326,0.3
isogroup20328,0.5
isogroup20329,1
isogroup2033,0
isogroup20330,0.1
isogroup20331,-2.2
isogroup20332,1.3
isogroup20333,-2.2
isogroup20334,-7.9
isogroup20335,0.1
isogroup20336,0
isogroup20337,2.3
isogroup20338,0.8
isogroup20339,0.5
isogroup2034,2.7
isogroup20340,0.8
isogroup20342,-0.6
isogroup20344,0.7
isogroup20345,0.2
isogroup20346,-0.1
isogroup20347,0
isogroup20348,0.1
isogroup20349,2.3
isogroup2035,0.1
isogroup20350,-3.3
isogroup20351,0
isogroup20352,-1.4
isogroup20353,0.6
isogroup20354,-0.7
isogroup20355,0
isogroup20357,0
isogroup20358,0.4
isogroup20359,-3.8
isogroup2036,-0.7
isogroup20360,-0.4
isogroup20361,0.5
isogroup20362,1.1
isogroup20363,0.7
isogroup20364,0.8
isogroup20365,1.1
isogroup20366,2
isogroup20367,0.1
isogroup20368,-1.4
isogroup20369,0.2
isogroup2037,0.8
isogroup20370,0.3
isogroup20372,-0.4
isogroup20373,-0.8
isogroup20374,2.3
isogroup20375,1.6
isogroup20376,2.6
isogroup20377,-0.8
isogroup20378,-7.1
isogroup2038,0
isogroup20380,-0.1
isogroup20381,-1.6
isogroup20382,1.2
isogroup20384,1.2
isogroup20385,0
isogroup20386,2.5
isogroup20387,1.9
isogroup20389,0.3
isogroup2039,1.6
isogroup20390,0.4
isogroup20391,2.9
isogroup20392,0
isogroup20394,0.5
isogroup20395,-1.2
isogroup20396,0.1
isogroup20397,-0.2
isogroup20398,1.2
isogroup20399,0
isogroup204,-0.1
isogroup2040,0.8
isogroup20400,-0.1
isogroup20401,-0.2
isogroup20402,1.1
isogroup20403,1
isogroup20404,0
isogroup20405,-0.5
isogroup20406,0.3
isogroup20407,1.7
isogroup20408,0.5
isogroup20409,0.6
isogroup2041,0.6
isogroup20410,0.7
isogroup20411,-0.9
isogroup20414,0
isogroup20415,-0.1
isogroup20418,0.3
isogroup20419,-0.9
isogroup2042,2.3
isogroup20420,5.9
isogroup20422,0.1
isogroup20423,0.3
isogroup20424,0.7
isogroup20425,-6.8
isogroup20426,1.3
isogroup20428,0.3
isogroup20429,1.3
isogroup2043,2.6
isogroup20430,-0.6
isogroup20431,1.9
isogroup20432,0.2
isogroup20433,0.4
isogroup20434,0
isogroup20435,-0.8
isogroup20436,0.2
isogroup20437,3.1
isogroup20438,-0.7
isogroup20439,-0.4
isogroup2044,0.5
isogroup20440,0.1
isogroup20441,-1
isogroup20443,1.2
isogroup20444,0.4
isogroup20445,0.3
isogroup20446,0.6
isogroup20447,0.9
isogroup20448,0
isogroup20449,-0.2
isogroup2045,1.2
isogroup20450,0.9
isogroup20451,-0.3
isogroup20453,1.1
isogroup20454,0.8
isogroup20455,0.9
isogroup20456,0
isogroup20457,0.3
isogroup20458,-1.4
isogroup20459,0.3
isogroup2046,-0.1
isogroup20460,1.7
isogroup20461,0.4
isogroup20462,-2.3
isogroup20463,-1.3
isogroup20464,-0.1
isogroup20465,0
isogroup20466,-0.3
isogroup20467,1.1
isogroup20468,0.2
isogroup20469,0.1
isogroup2047,1.1
isogroup20470,0.2
isogroup20471,1.2
isogroup20472,0.2
isogroup20473,-0.4
isogroup20474,2.8
isogroup20475,0.1
isogroup20476,2.4
isogroup20477,-0.3
isogroup20478,0.1
isogroup20479,0.1
isogroup2048,-4
isogroup20480,0.8
isogroup20481,3.1
isogroup20482,0.2
isogroup20484,1.2
isogroup20485,-1.2
isogroup20486,1.9
isogroup20487,-3.3
isogroup20489,0.7
isogroup2049,-0.1
isogroup20492,0
isogroup20493,3.8
isogroup20494,0.8
isogroup20495,1.7
isogroup20496,2.5
isogroup20497,0.3
isogroup20498,0.4
isogroup20499,-1.7
isogroup205,0.9
isogroup2050,2.8
isogroup20501,0.9
isogroup20502,0
isogroup20503,-0.6
isogroup20504,0.2
isogroup20505,0.1
isogroup20506,3.2
isogroup20507,0.7
isogroup20508,-0.4
isogroup2051,-0.8
isogroup20511,0.3
isogroup20512,0.6
isogroup20513,0.1
isogroup20514,1.4
isogroup20515,-0.1
isogroup20517,1
isogroup20518,-0.1
isogroup2052,0.3
isogroup20520,-0.5
isogroup20521,1
isogroup20522,0.4
isogroup20523,1
isogroup20524,-10
isogroup20525,0.1
isogroup20526,0.3
isogroup20527,-1.7
isogroup20528,0
isogroup20529,0
isogroup2053,0.5
isogroup20530,-0.5
isogroup20531,0.8
isogroup20532,0.8
isogroup20533,0.9
isogroup20534,-1.1
isogroup20535,0.4
isogroup20536,-0.3
isogroup20537,-0.1
isogroup20538,-3.1
isogroup20539,3
isogroup2054,-0.1
isogroup20540,1.7
isogroup20543,0.1
isogroup20546,2
isogroup20547,1.3
isogroup20549,2.7
isogroup2055,1
isogroup20550,0.8
isogroup20551,0.3
isogroup20552,-4.2
isogroup20553,0.8
isogroup20554,0.5
isogroup20555,0.2
isogroup20557,-0.3
isogroup20558,-0.3
isogroup20559,-0.4
isogroup2056,1.7
isogroup20560,-2.2
isogroup20561,0.1
isogroup20562,-0.3
isogroup20563,0
isogroup20564,0.3
isogroup20565,-0.2
isogroup20566,2.9
isogroup20567,8.1
isogroup2057,5.2
isogroup20571,0.5
isogroup20572,0.2
isogroup20573,-0.1
isogroup20574,2.2
isogroup20576,0.3
isogroup20577,-10
isogroup20578,0.5
isogroup20579,1.4
isogroup2058,-1
isogroup20581,2.4
isogroup20582,0
isogroup20583,0
isogroup20584,-0.3
isogroup20585,0.4
isogroup20586,0.1
isogroup20587,0.3
isogroup20588,-0.3
isogroup20589,-0.6
isogroup2059,1.3
isogroup20590,0.3
isogroup20591,1
isogroup20592,0.7
isogroup20593,1.2
isogroup20594,0.2
isogroup20595,-0.8
isogroup20597,0.5
isogroup20598,0
isogroup20599,0.1
isogroup206,0.9
isogroup2060,2.6
isogroup20600,0.2
isogroup20601,-0.6
isogroup20602,-0.5
isogroup20603,0.1
isogroup20604,-3.3
isogroup20606,-1.1
isogroup20607,1.6
isogroup20609,0.1
isogroup2061,0.9
isogroup20610,0
isogroup20612,-10
isogroup20613,1.9
isogroup20615,0.3
isogroup20616,0
isogroup20617,1
isogroup20618,0.3
isogroup20619,-0.7
isogroup2062,1.1
isogroup20620,-0.1
isogroup20621,0.3
isogroup20622,-0.1
isogroup20623,-0.9
isogroup20624,3
isogroup20625,0
isogroup20626,1.9
isogroup20628,0.2
isogroup20629,-0.8
isogroup2063,-0.2
isogroup20630,0.5
isogroup20631,1.1
isogroup20633,1.3
isogroup20634,0.7
isogroup20637,-0.6
isogroup20638,0.7
isogroup20639,-0.7
isogroup2064,0.4
isogroup20640,-0.1
isogroup20641,0.9
isogroup20642,0.7
isogroup20643,-0.1
isogroup20645,-0.9
isogroup20646,-7.4
isogroup20647,2
isogroup20648,3.7
isogroup20649,0.1
isogroup2065,1.9
isogroup20650,1.8
isogroup20651,5.8
isogroup20652,0.6
isogroup20653,4.6
isogroup20654,0.7
isogroup20655,0.3
isogroup20656,0.3
isogroup20658,0.5
isogroup20659,0.7
isogroup2066,2.3
isogroup20660,0.5
isogroup20661,0.5
isogroup20662,-1.2
isogroup20666,-1.5
isogroup20667,-0.4
isogroup20668,0.3
isogroup20669,2
isogroup2067,-0.4
isogroup20670,-0.7
isogroup20671,0.2
isogroup20672,0.5
isogroup20673,0.3
isogroup20674,0.1
isogroup20676,0.1
isogroup20677,0.7
isogroup20678,-2.3
isogroup2068,0.6
isogroup20680,-5.9
isogroup20681,-4.1
isogroup20682,-0.9
isogroup20683,0.2
isogroup20686,0.1
isogroup20688,0.3
isogroup2069,0.1
isogroup20690,2.1
isogroup20691,-0.1
isogroup20693,1.8
isogroup20694,4
isogroup20695,1.5
isogroup20696,0.7
isogroup20697,0.5
isogroup20698,0.1
isogroup20699,-0.1
isogroup207,5.8
isogroup20700,1.4
isogroup20701,-1.8
isogroup20702,2.4
isogroup20703,0
isogroup20704,0.9
isogroup20705,-0.2
isogroup20707,0.9
isogroup20709,0.9
isogroup2071,-1.8
isogroup20710,0.7
isogroup20711,0.2
isogroup20712,-0.1
isogroup20713,0.8
isogroup20714,0.4
isogroup20715,2.4
isogroup20716,-1.5
isogroup20717,-1.2
isogroup20718,-1.1
isogroup20719,0.3
isogroup2072,-0.2
isogroup20721,1.3
isogroup20722,1.6
isogroup20723,0.2
isogroup20724,-10
isogroup20726,1.3
isogroup20727,-0.3
isogroup20729,0.2
isogroup2073,0.3
isogroup20730,1.7
isogroup20731,-1.3
isogroup20732,0.7
isogroup20733,0.4
isogroup20734,-0.3
isogroup20735,0.1
isogroup20736,0.1
isogroup20738,0.3
isogroup20739,0.8
isogroup2074,0.7
isogroup20740,-0.4
isogroup20741,0.1
isogroup20742,-0.8
isogroup20743,3.5
isogroup20744,0.7
isogroup20745,-0.1
isogroup20746,-1
isogroup20747,1.6
isogroup20748,0.5
isogroup20749,1.3
isogroup2075,2
isogroup20750,0.7
isogroup20751,0.8
isogroup20752,0.7
isogroup20753,0.8
isogroup20754,-4.6
isogroup20755,-0.6
isogroup20758,-0.2
isogroup20759,0.3
isogroup2076,-0.5
isogroup20760,-1
isogroup20762,0
isogroup20763,-0.2
isogroup20765,1.8
isogroup20768,1.8
isogroup20769,0.3
isogroup2077,0.4
isogroup20770,1.1
isogroup20771,0.7
isogroup20772,2.6
isogroup20773,0.8
isogroup20774,-1.1
isogroup20775,0.5
isogroup20776,-0.3
isogroup20777,-2.5
isogroup20778,0.3
isogroup20779,1
isogroup2078,-10
isogroup20781,-2.1
isogroup20783,1.2
isogroup20784,0.5
isogroup20785,0.3
isogroup20786,-0.4
isogroup20787,0
isogroup20788,0.9
isogroup2079,-0.5
isogroup20790,0.4
isogroup20792,0.4
isogroup20793,1.7
isogroup20794,0.4
isogroup20795,-8.7
isogroup20796,-0.6
isogroup20797,-0.3
isogroup20798,0
isogroup20799,0.1
isogroup208,0.6
isogroup2080,-6.5
isogroup20802,-1.1
isogroup20805,-0.2
isogroup20806,2.1
isogroup20807,0.8
isogroup2081,-0.6
isogroup20810,0.4
isogroup20811,0.4
isogroup20812,0.2
isogroup20814,0.2
isogroup20815,-0.8
isogroup20816,-1.5
isogroup20818,-0.4
isogroup20819,-2.7
isogroup2082,0.2
isogroup20820,-1.4
isogroup20821,0.6
isogroup20822,-0.5
isogroup20826,1.1
isogroup20827,-0.8
isogroup20828,0.6
isogroup20829,-0.1
isogroup2083,0
isogroup20831,-0.2
isogroup20832,-1.2
isogroup20833,0.5
isogroup20834,-0.7
isogroup20835,0.9
isogroup20836,1.9
isogroup20837,-0.1
isogroup20838,2.2
isogroup20839,1.1
isogroup2084,0
isogroup20840,2.2
isogroup20841,0.3
isogroup20842,0.7
isogroup20843,-0.2
isogroup20844,0
isogroup20847,1.8
isogroup20848,1.6
isogroup20849,1.1
isogroup2085,0.3
isogroup20851,0
isogroup20852,1
isogroup20853,4
isogroup20855,0.7
isogroup20856,-2.8
isogroup20857,0.5
isogroup20859,-1.5
isogroup2086,0.4
isogroup20860,1.8
isogroup20862,0.5
isogroup20863,-1
isogroup20864,-0.2
isogroup20865,1
isogroup20866,0
isogroup20867,0.4
isogroup20868,0.1
isogroup20869,0
isogroup20870,0.5
isogroup20871,0.5
isogroup20871.1,-0.2
isogroup20872,0.2
isogroup20873,0.1
isogroup20877,-0.7
isogroup20878,1
isogroup20879,-0.2
isogroup2088,4
isogroup20880,0
isogroup20882,0.7
isogroup20883,-0.7
isogroup20884,0.4
isogroup20885,3.5
isogroup20886,0.3
isogroup20888,1.2
isogroup20889,-0.6
isogroup2089,4
isogroup20890,-0.3
isogroup20891,0.7
isogroup20895,-10
isogroup20896,0.9
isogroup20897,0.1
isogroup20898,-5.4
isogroup20899,0.6
isogroup209,-0.3
isogroup2090,0
isogroup20900,-1.1
isogroup20901,1.1
isogroup20902,0.9
isogroup20903,0.2
isogroup20904,0.8
isogroup20905,-0.4
isogroup20906,1.9
isogroup20907,0.1
isogroup20909,0.1
isogroup2091,-0.1
isogroup20910,0.1
isogroup20911,-0.8
isogroup20912,0
isogroup20914,-0.7
isogroup20915,-7
isogroup20916,0
isogroup20917,5.3
isogroup20918,-0.3
isogroup20919,0.5
isogroup2092,1.4
isogroup20920,0.4
isogroup20921,0.3
isogroup20922,0.5
isogroup20923,0.8
isogroup20924,-9.4
isogroup20925,0.5
isogroup20927,3.7
isogroup20928,0.4
isogroup20929,0.5
isogroup2093,1.6
isogroup20933,-0.1
isogroup20934,0.9
isogroup20935,-0.7
isogroup20936,0.1
isogroup20937,-0.4
isogroup20938,-0.5
isogroup20939,-0.4
isogroup2094,0
isogroup20941,-0.1
isogroup20942,-2.5
isogroup20944,-0.3
isogroup20947,-0.6
isogroup20949,1.3
isogroup2095,0.7
isogroup20950,-0.1
isogroup20951,0.2
isogroup20952,1.3
isogroup20954,0.9
isogroup20956,-1.2
isogroup20957,0.1
isogroup20958,-2.3
isogroup20959,0.7
isogroup2096,4
isogroup20960,0.3
isogroup20961,1.2
isogroup20963,0.2
isogroup20964,0.7
isogroup20965,0.3
isogroup20966,7.3
isogroup20967,1.6
isogroup20968,1.8
isogroup20969,4.5
isogroup2097,1
isogroup20970,0.3
isogroup20971,0.2
isogroup20972,0.9
isogroup20973,0.4
isogroup20976,0.6
isogroup20977,1.3
isogroup20978,-4.7
isogroup20979,1.9
isogroup2098,0.4
isogroup20980,1
isogroup20981,1.5
isogroup20984,-0.3
isogroup20986,-0.7
isogroup20987,0.7
isogroup20989,-0.8
isogroup2099,0.2
isogroup20990,-1.8
isogroup20991,-4.9
isogroup20992,3
isogroup20993,0.8
isogroup20995,0.1
isogroup20996,1.9
isogroup20997,-0.4
isogroup20998,-0.7
isogroup21,0.5
isogroup210,1
isogroup2100,0
isogroup21000,0.7
isogroup21002,1
isogroup21003,-1.1
isogroup21004,-0.5
isogroup21008,-0.5
isogroup21009,0.3
isogroup2101,0.8
isogroup21011,1.2
isogroup21012,-3.2
isogroup21013,0.7
isogroup21014,0.1
isogroup21015,-0.1
isogroup21016,-0.1
isogroup21017,0.9
isogroup21018,0.6
isogroup21019,0.9
isogroup2102,0.2
isogroup21020,-0.9
isogroup21021,0.1
isogroup21022,1.2
isogroup21024,1.4
isogroup21025,0
isogroup21027,-3.3
isogroup21029,2.2
isogroup2103,0.1
isogroup21031,-6.5
isogroup21032,0.4
isogroup21033,-2.9
isogroup21034,0.9
isogroup21035,1.9
isogroup21037,1.7
isogroup21038,0.1
isogroup21039,0.8
isogroup2104,-0.2
isogroup21040,0.1
isogroup21041,0.2
isogroup21042,0.1
isogroup21043,-1.6
isogroup21044,0.1
isogroup21045,2.1
isogroup21047,0.3
isogroup21048,1.9
isogroup2105,-0.1
isogroup21050,0.5
isogroup21051,-0.5
isogroup21052,1.5
isogroup21055,0
isogroup21057,-1.8
isogroup2106,-0.1
isogroup21060,0.2
isogroup21061,-0.1
isogroup21062,-0.9
isogroup21063,1.2
isogroup21065,3.3
isogroup21067,0.1
isogroup21068,-0.2
isogroup21069,-0.6
isogroup2107,3.2
isogroup21071,0.9
isogroup21072,0.5
isogroup21074,1.3
isogroup21075,1.3
isogroup21076,-0.4
isogroup21077,0.7
isogroup21078,-5.6
isogroup21079,0
isogroup2108,1.6
isogroup21080,2.5
isogroup21081,-0.4
isogroup21083,1.2
isogroup21084,0.1
isogroup21085,0.5
isogroup21086,0.4
isogroup21087,1.2
isogroup21088,0.4
isogroup2109,0.1
isogroup21090,-1.3
isogroup21091,-0.3
isogroup21092,-0.7
isogroup21094,0.7
isogroup21095,2.3
isogroup21096,0.1
isogroup21098,-0.2
isogroup21099,4.5
isogroup211,5.5
isogroup2110,-0.4
isogroup21100,-0.4
isogroup21100.2,2.6
isogroup21101,1.1
isogroup21102,2
isogroup21103,0.5
isogroup21104,0.1
isogroup21105,0.2
isogroup21106,0.3
isogroup21108,0.7
isogroup21109,1.5
isogroup2111,-0.3
isogroup21110,1.1
isogroup21111,-2.2
isogroup21112,-5.1
isogroup21113,0.9
isogroup21114,1.9
isogroup21116,-1.2
isogroup21117,0.1
isogroup21118,0.2
isogroup21119,1
isogroup2112,0.1
isogroup21120,0.2
isogroup21122,0.3
isogroup21123,2.3
isogroup21124,0.6
isogroup21125,-0.1
isogroup21126,-4.9
isogroup21127,-0.2
isogroup21128,-3.7
isogroup21129,1.2
isogroup21131,0
isogroup21132,0.3
isogroup21133,0
isogroup21134,-0.2
isogroup21136,0
isogroup21137,-0.9
isogroup21138,-7
isogroup21139,-2.3
isogroup2114,0.4
isogroup21140,0.5
isogroup21141,0.4
isogroup21142,0.4
isogroup21143,0.9
isogroup21144,-1
isogroup21145,0.1
isogroup21146,0.1
isogroup21147,-0.1
isogroup21148,0.3
isogroup21150,0.8
isogroup21151,0.1
isogroup21152,0.3
isogroup21153,0.7
isogroup21154,2.1
isogroup21155,1.7
isogroup21156,0.2
isogroup21157,0.3
isogroup21158,0.6
isogroup21159,0.2
isogroup2116,0.8
isogroup21160,-0.3
isogroup21161,-0.4
isogroup21162,0.6
isogroup21163,2.3
isogroup21164,0.4
isogroup21165,0.1
isogroup21166,1.5
isogroup21169,0.9
isogroup21170,4.3
isogroup21172,0
isogroup21173,-10
isogroup21174,-0.6
isogroup21177,1.5
isogroup21178,-1.3
isogroup21179,0.5
isogroup2118,1.1
isogroup21180,0.2
isogroup21181,2.1
isogroup21182,-0.4
isogroup21183,-0.3
isogroup21185,0.3
isogroup21186,2.9
isogroup21187,2.7
isogroup21188,4.9
isogroup21189,0.8
isogroup21190,2.6
isogroup21192,-0.1
isogroup21193,-1.2
isogroup21194,0.7
isogroup21195,-0.1
isogroup21196,1.1
isogroup21198,2.9
isogroup21199,-0.2
isogroup212,7.8
isogroup2120,0.6
isogroup21200,0.3
isogroup21201,-0.6
isogroup21202,0.7
isogroup21205,-0.3
isogroup21207,1
isogroup21208,0.6
isogroup21209,-0.5
isogroup2121,2.3
isogroup21210,0.2
isogroup21213,2.7
isogroup21214,0.9
isogroup21215,-0.5
isogroup21216,0.9
isogroup21217,0.2
isogroup21218,-0.3
isogroup2122,4
isogroup21220,1
isogroup21221,0.4
isogroup21222,-0.1
isogroup21223,0.3
isogroup21224,-3.5
isogroup21225,0.8
isogroup21228,1.5
isogroup21229,1.9
isogroup2123,3.9
isogroup21230,0.5
isogroup21231,0.1
isogroup21233,0.2
isogroup21234,0.4
isogroup21235,1.2
isogroup21236,0.1
isogroup21237,0.2
isogroup21238,0
isogroup2124,2.8
isogroup21241,-1.3
isogroup21242,0.8
isogroup21243,-1.2
isogroup21244,0.1
isogroup21247,2.2
isogroup21248,-4
isogroup2125,-0.2
isogroup21251,0.4
isogroup21252,-2.5
isogroup21253,-0.1
isogroup21254,0.3
isogroup21255,0.8
isogroup21256,0.5
isogroup21258,0.9
isogroup2126,-0.1
isogroup21260,0
isogroup21261,0.8
isogroup21262,-0.3
isogroup21264,0.4
isogroup21265,1.8
isogroup21266,-0.3
isogroup21267,0.9
isogroup21268,0.3
isogroup21269,1.8
isogroup2127,-4
isogroup21272,0.3
isogroup21273,0.1
isogroup21274,2.2
isogroup21275,0.6
isogroup21276,1.1
isogroup21277,-0.3
isogroup21278,0.4
isogroup21279,1.1
isogroup2128,-1
isogroup21280,0
isogroup21281,1
isogroup21283,-0.4
isogroup21284,0.5
isogroup21285,-10
isogroup21286,0.1
isogroup21287,0.9
isogroup21288,-0.3
isogroup21289,-0.6
isogroup2129,0.4
isogroup21290,0.3
isogroup21291,3
isogroup21292,1.1
isogroup21293,-0.1
isogroup21294,-0.2
isogroup21295,2.8
isogroup21296,2
isogroup21297,0.4
isogroup21299,-0.2
isogroup2130,3.2
isogroup21300,-2.7
isogroup21301,0.1
isogroup21302,-2.1
isogroup21303,0.2
isogroup21304,2.7
isogroup21305,0.5
isogroup21307,1.7
isogroup21308,1.2
isogroup21309,0.7
isogroup2131,-0.9
isogroup21310,1.9
isogroup21311,0
isogroup21312,1
isogroup21313,0.1
isogroup21314,2.4
isogroup21315,-1.1
isogroup21317,0
isogroup21318,0.4
isogroup21319,-1.2
isogroup2132,0.1
isogroup21320,0.2
isogroup21321,0.3
isogroup21322,1.7
isogroup21323,2.3
isogroup21324,0.4
isogroup21325,0.7
isogroup21326,0.3
isogroup21327,-1.9
isogroup21328,0.4
isogroup21329,0.2
isogroup2133,1.1
isogroup21330,-2
isogroup21331,1.2
isogroup21332,-0.3
isogroup21333,1
isogroup21334,-5.9
isogroup21335,0.8
isogroup21337,2.1
isogroup21338,0.2
isogroup21339,0.2
isogroup2134,1.5
isogroup21340,0.9
isogroup21342,1.1
isogroup21346,0.1
isogroup21347,0.7
isogroup21348,0.7
isogroup2135,-5.7
isogroup21351,2.1
isogroup21352,1.5
isogroup21353,0.1
isogroup21355,-3
isogroup21356,-3.8
isogroup21357,1.1
isogroup21359,-0.7
isogroup2136,-9.6
isogroup21360,-0.1
isogroup21361,0.2
isogroup21362,-0.1
isogroup21363,1.3
isogroup21364,1.3
isogroup21366,2.6
isogroup21367,0.3
isogroup21368,-0.1
isogroup2137,0.3
isogroup21370,0.4
isogroup21371,-0.2
isogroup21372,-0.1
isogroup21374,-0.2
isogroup21375,0.2
isogroup21376,2.6
isogroup21377,0.4
isogroup21378,0.2
isogroup21379,-6.6
isogroup2138,1
isogroup21380,-0.1
isogroup21382,0.4
isogroup21384,-10
isogroup21386,0.3
isogroup21388,0
isogroup21389,0
isogroup2139,-1.2
isogroup21390,-1.2
isogroup21392,2.2
isogroup21393,1.2
isogroup21394,0.6
isogroup21395,0.3
isogroup21396,0
isogroup21397,-0.1
isogroup21398,-9.7
isogroup21399,0.6
isogroup214,2.3
isogroup2140,0.5
isogroup21400,-0.7
isogroup21401,1.7
isogroup21402,-0.1
isogroup21405,1.7
isogroup21407,-3
isogroup21408,1.1
isogroup21409,1.7
isogroup2141,-10
isogroup21410,0.1
isogroup21411,1.2
isogroup21412,-0.7
isogroup21413,-1.6
isogroup21414,-0.2
isogroup21416,-1.4
isogroup21417,0.1
isogroup21418,1
isogroup2142,0.3
isogroup21420,-7
isogroup21421,0.1
isogroup21422,0
isogroup21423,-5.5
isogroup21424,-0.6
isogroup21425,0.4
isogroup21427,-4.4
isogroup21428,0.1
isogroup2143,4.7
isogroup21430,4.7
isogroup21431,-0.1
isogroup21433,-0.6
isogroup21434,-1
isogroup21435,0.8
isogroup21436,0.1
isogroup21437,0.8
isogroup21438,0.1
isogroup21439,1.8
isogroup2144,6.7
isogroup21440,0.7
isogroup21442,3.4
isogroup21444,0.5
isogroup21446,0.1
isogroup21447,0.9
isogroup21448,0.7
isogroup21449,1
isogroup2145,0.6
isogroup21450,2.4
isogroup21451,-0.2
isogroup21452,0.1
isogroup21453,0.3
isogroup21454,-2.1
isogroup21455,2.3
isogroup21456,2.3
isogroup21457,-0.1
isogroup21459,0
isogroup2146,1.6
isogroup21460,3.6
isogroup21461,-1.1
isogroup21462,-5.7
isogroup21463,0.7
isogroup21464,-0.6
isogroup21465,0.6
isogroup21466,2.1
isogroup21467,0.7
isogroup21468,-5.2
isogroup21469,1.6
isogroup2147,0
isogroup21470,-2.2
isogroup21471,0
isogroup21472,0.3
isogroup21473,0.1
isogroup21475,-0.9
isogroup21476,0.1
isogroup2148,0.8
isogroup21480,3.1
isogroup21482,0.5
isogroup21484,1.2
isogroup21486,0.1
isogroup21487,-0.1
isogroup21488,1.1
isogroup21489,-0.5
isogroup2149,0.1
isogroup21493,0.2
isogroup21494,-0.2
isogroup21495,0
isogroup21496,-0.9
isogroup21497,0
isogroup21498,-3
isogroup21499,-0.9
isogroup215,-0.7
isogroup2150,3.5
isogroup21500,-0.1
isogroup21502,-0.1
isogroup21504,0.6
isogroup21505,-0.2
isogroup21506,-1.1
isogroup21507,0
isogroup21509,1.3
isogroup2151,1.2
isogroup21510,3
isogroup21512,-3.9
isogroup21513,-1.2
isogroup21514,1.6
isogroup21515,1.3
isogroup21518,0.2
isogroup2152,1.7
isogroup21520,-0.4
isogroup21521,0.2
isogroup21522,-1
isogroup21524,0.8
isogroup21525,-1.4
isogroup21526,1.2
isogroup21527,2.3
isogroup21528,0.2
isogroup21529,0.6
isogroup2153,3.4
isogroup21530,-0.3
isogroup21531,0.9
isogroup21533,-0.1
isogroup21534,0.4
isogroup21535,0.6
isogroup21536,-8.6
isogroup21537,-0.3
isogroup21538,0.6
isogroup21539,0.7
isogroup2154,0.4
isogroup21540,0.2
isogroup21541,0.3
isogroup21542,0.3
isogroup21544,0.8
isogroup21546,1.2
isogroup21547,2.9
isogroup21548,2.4
isogroup21549,0.9
isogroup2155,0.5
isogroup21551,0.4
isogroup21552,-0.8
isogroup21553,1
isogroup21554,0.5
isogroup21555,0.5
isogroup21556,-3.5
isogroup21557,-0.1
isogroup21558,0.5
isogroup21559,0.8
isogroup2156,0.2
isogroup21560,0.7
isogroup21562,1
isogroup21563,-1.5
isogroup21564,-0.2
isogroup21565,2.4
isogroup21567,0.6
isogroup21569,-4.4
isogroup2157,0.1
isogroup21570,3.3
isogroup21571,1.3
isogroup21572,-0.2
isogroup21573,3.6
isogroup21574,-0.9
isogroup21575,0.7
isogroup21576,-2.7
isogroup21577,0.3
isogroup21579,0.3
isogroup2158,0.6
isogroup21580,0.8
isogroup21581,2.3
isogroup21582,0.4
isogroup21583,-0.1
isogroup21584,0.8
isogroup21587,-1.3
isogroup21589,-0.5
isogroup2159,0.6
isogroup2159.1,0.5
isogroup21590,0.2
isogroup21591,-0.3
isogroup21592,0.8
isogroup21593,-0.2
isogroup21595,0
isogroup21596,1.9
isogroup21597,0
isogroup21598,0
isogroup21599,0.5
isogroup216,2.2
isogroup2160,1.9
isogroup21600,0.6
isogroup21601,-0.7
isogroup21602,0.1
isogroup21603,0.3
isogroup21604,0.3
isogroup21605,0.6
isogroup21606,-0.9
isogroup21607,-0.1
isogroup21609,0.7
isogroup2161,1.1
isogroup21610,1
isogroup21611,0.4
isogroup21613,-1.8
isogroup21614,2.4
isogroup21615,-0.1
isogroup21616,0
isogroup21618,-0.1
isogroup21619,-0.4
isogroup21620,0.7
isogroup21621,-2.2
isogroup21622,0.6
isogroup21623,-1.1
isogroup21626,1.4
isogroup21627,-1
isogroup21628,0
isogroup21629,-10
isogroup2163,-2.9
isogroup21631,0.9
isogroup21632,2.5
isogroup21633,0.5
isogroup21635,1.3
isogroup21636,0.7
isogroup21638,-1.2
isogroup2164,-0.6
isogroup21641,0.2
isogroup21642,0.4
isogroup21643,1
isogroup21644,0.6
isogroup21645,-0.1
isogroup21646,1.3
isogroup21648,-2.1
isogroup21649,0.9
isogroup2165,0.5
isogroup21650,0.2
isogroup21651,3.1
isogroup21652,-0.1
isogroup21653,0.6
isogroup21654,-0.9
isogroup21655,0.1
isogroup21656,0.1
isogroup21657,1.7
isogroup21658,-10
isogroup2166,0.7
isogroup21660,2.4
isogroup21661,-0.1
isogroup21662,0
isogroup21663,-3.4
isogroup21665,0.9
isogroup21666,0.9
isogroup21668,0.9
isogroup21669,0.7
isogroup2167,-0.2
isogroup21671,-1.3
isogroup21673,-0.5
isogroup21674,-0.8
isogroup21675,0.4
isogroup21678,0
isogroup21679,0.1
isogroup2168,1.2
isogroup21680,0.5
isogroup21681,0.9
isogroup21682,0
isogroup21683,-0.5
isogroup21684,-0.1
isogroup21685,-0.8
isogroup21687,-1.7
isogroup21688,-4.6
isogroup21689,0.6
