gene,lp
isogroup19910,0.15
isogroup19911,2.58
isogroup19912,0.02
isogroup19913,-0.35
isogroup19914,1.72
isogroup19915,-0.27
isogroup19916,0.16
isogroup19917,0.56
isogroup19918,-1.25
isogroup19919,0
isogroup1992,0.33
isogroup19920,-0.08
isogroup19921,-0.82
isogroup19922,-0.04
isogroup19923,2.18
isogroup19924,-0.34
isogroup19925,2.16
isogroup19926,-2.98
isogroup19927,-0.04
isogroup19928,-0.17
isogroup19929,0.74
isogroup1993,0.5
isogroup19930,-0.32
isogroup19931,-0.14
isogroup19933,1.72
isogroup19934,-0.73
isogroup19935,-0.51
isogroup19936,0.02
isogroup19937,-1.29
isogroup19938,0.61
isogroup19939,-0.04
isogroup1994,-0.9
isogroup1994.1,-0.57
isogroup19940,-0.89
isogroup19941,-1.15
isogroup19942,-0.44
isogroup19943,1.75
isogroup19944,0.17
isogroup19945,0.6
isogroup19946,0.47
isogroup19947,0.18
isogroup19948,0.38
isogroup19949,-1.86
isogroup1995,1.14
isogroup19950,0.69
isogroup19951,0.07
isogroup19952,-1.57
isogroup19953,-1.34
isogroup19954,0.28
isogroup19955,-0.01
isogroup19956,1.25
isogroup19957,0.1
isogroup19958,-3.15
isogroup19959,-0.06
isogroup1996,-2.86
isogroup19960,-1.24
isogroup19961,0.36
isogroup19962,0.51
isogroup19963,-0.17
isogroup19964,-1.11
isogroup19965,-0.54
isogroup19967,-0.41
isogroup19968,-0.28
isogroup19969,0.51
isogroup1997,0.18
isogroup19970,0.39
isogroup19971,0.03
isogroup19972,0.56
isogroup19973,1.31
isogroup19974,-0.99
isogroup19975,0.25
isogroup19976,0.28
isogroup19977,0.01
isogroup19978,2.78
isogroup19979,1.42
isogroup1998,-2.2
isogroup19980,0.4
isogroup19981,0.14
isogroup19982,0.06
isogroup19983,8.84
isogroup19984,0.01
isogroup19986,-0.34
isogroup19987,-0.22
isogroup19988,-0.48
isogroup1999,8.61
isogroup19992,0.54
isogroup19993,-0.98
isogroup19994,1.76
isogroup19995,0.3
isogroup19996,0.05
isogroup19997,-0.38
isogroup19998,0.17
isogroup19999,-0.5
isogroup2,-1.45
isogroup20,-0.62
isogroup200,-0.45
isogroup2000,0.11
isogroup20000,-0.22
isogroup20001,-0.34
isogroup20002,0.53
isogroup20003,-0.67
isogroup20004,-0.05
isogroup20005,0.91
isogroup20006,0.25
isogroup20007,-3.58
isogroup20008,0.98
isogroup20009,-0.83
isogroup2001,0.49
isogroup20010,-1.36
isogroup20011,-0.36
isogroup20012,-0.14
isogroup20013,-0.28
isogroup20014,-0.17
isogroup20015,0.01
isogroup20016,-0.92
isogroup20017,0.35
isogroup20018,-0.69
isogroup20019,-0.03
isogroup2002,-0.11
isogroup20020,0.39
isogroup20021,-0.24
isogroup20022,-0.49
isogroup20023,-0.45
isogroup20024,-0.75
isogroup20025,0.64
isogroup20026,0.31
isogroup20027,-0.11
isogroup20028,0.01
isogroup2003,-0.18
isogroup20030,4.55
isogroup20031,1.22
isogroup20032,-0.58
isogroup20033,-0.86
isogroup20034,-0.49
isogroup20035,-0.06
isogroup20036,0.05
isogroup20037,-0.89
isogroup20038,0.12
isogroup20039,-0.43
isogroup2004,-0.21
isogroup20040,0.15
isogroup20041,-0.73
isogroup20042,-0.1
isogroup20043,0.12
isogroup20044,0.01
isogroup20045,-0.89
isogroup20046,0.64
isogroup20047,-0.51
isogroup20048,-1.42
isogroup20049,-0.86
isogroup2005,1.08
isogroup20050,-2.23
isogroup20051,-0.34
isogroup20052,-0.69
isogroup20053,0.41
isogroup20054,-0.17
isogroup20055,-3.31
isogroup20056,-0.02
isogroup20057,0.2
isogroup20058,-0.73
isogroup20059,4.17
isogroup2006,2.96
isogroup20060,-0.05
isogroup20062,-0.46
isogroup20063,0.25
isogroup20064,-0.56
isogroup20065,-0.69
isogroup20066,0.91
isogroup20067,-0.28
isogroup20068,0.43
isogroup20069,-4.41
isogroup2007,0.94
isogroup20070,2.18
isogroup20071,0.15
isogroup20072,-0.7
isogroup20073,0.52
isogroup20074,-2.65
isogroup20075,0.53
isogroup20076,2.6
isogroup20077,0.72
isogroup20078,-0.22
isogroup20079,0.5
isogroup2008,0.02
isogroup20080,0.03
isogroup20081,-0.34
isogroup20082,-0.44
isogroup20083,0.28
isogroup20084,0.64
isogroup20085,-0.04
isogroup20086,1.08
isogroup20087,-3.02
isogroup20088,1.56
isogroup20089,-1.28
isogroup2009,-0.67
isogroup20090,-0.91
isogroup20091,0.11
isogroup20092,0.17
isogroup20093,0.21
isogroup20094,0.28
isogroup20095,0.56
isogroup20097,0.26
isogroup20098,-1.97
isogroup20099,0.26
isogroup201,-0.53
isogroup2010,0.5
isogroup20100,0.75
isogroup20101,0.52
isogroup20102,3.24
isogroup20103,-0.64
isogroup20104,0.69
isogroup20105,-0.02
isogroup20106,0.27
isogroup20107,0.05
isogroup20108,-0.97
isogroup20109,0.2
isogroup2011,-2.26
isogroup20110,-0.48
isogroup20111,2.09
isogroup20112,0.57
isogroup20113,-0.65
isogroup20114,2.11
isogroup20115,-0.63
isogroup20116,0.36
isogroup20117,2.3
isogroup20118,0.12
isogroup20119,-0.24
isogroup2012,-0.08
isogroup20120,-0.08
isogroup20121,0.16
isogroup20122,-0.85
isogroup20123,-0.4
isogroup20124,-6.62
isogroup20125,-0.15
isogroup20126,-0.13
isogroup20127,1.68
isogroup20128,-0.18
isogroup20129,0.04
isogroup2013,2.36
isogroup20130,-2.05
isogroup20131,-0.09
isogroup20132,1.21
isogroup20133,-0.51
isogroup20134,0.03
isogroup20135,0.22
isogroup20136,0.06
isogroup20137,-0.36
isogroup20138,-0.09
isogroup20139,0.23
isogroup2014,1.5
isogroup20140,-0.61
isogroup20142,0.24
isogroup20143,-0.05
isogroup20144,-0.53
isogroup20145,1.45
isogroup20146,-0.62
isogroup20147,1.06
isogroup20148,-0.51
isogroup20149,0.19
isogroup2015,-0.53
isogroup20150,-0.11
isogroup20151,-0.42
isogroup20152,0.25
isogroup20153,-0.48
isogroup20154,1.57
isogroup20155,-0.56
isogroup20156,-0.31
isogroup20157,-0.13
isogroup20158,-0.44
isogroup20159,0.14
isogroup2016,-0.06
isogroup20160,-0.02
isogroup20161,0.08
isogroup20162,1.22
isogroup20163,-0.95
isogroup20164,-0.35
isogroup20165,0.1
isogroup20166,2.21
isogroup20167,0.02
isogroup20168,-1.24
isogroup20169,1.2
isogroup2017,-3.61
isogroup20170,-0.43
isogroup20171,-0.1
isogroup20172,-0.12
isogroup20173,0.92
isogroup20174,1.24
isogroup20175,0.18
isogroup20176,0.07
isogroup20177,-2.2
isogroup20178,-0.15
isogroup20179,4.49
isogroup2018,0.38
isogroup20180,0.27
isogroup20181,1.88
isogroup20182,-0.5
isogroup20183,0.44
isogroup20184,0.19
isogroup20185,-0.59
isogroup20186,0.07
isogroup20187,2.3
isogroup20188,-0.3
isogroup20189,-0.14
isogroup2019,-6.11
isogroup20190,-0.26
isogroup20191,-0.61
isogroup20192,-0.27
isogroup20193,-0.35
isogroup20194,0.37
isogroup20195,0.3
isogroup20196,0.47
isogroup20197,0.69
isogroup20198,0.19
isogroup20199,0.18
isogroup202,-0.96
isogroup2020,0.89
isogroup20200,0.32
isogroup20201,-0.01
isogroup20202,-0.09
isogroup20203,0.43
isogroup20204,0.03
isogroup20205,-0.59
isogroup20206,1.58
isogroup20207,-0.22
isogroup20208,0.13
isogroup20209,-0.74
isogroup2021,2.14
isogroup20210,-0.24
isogroup20211,-0.26
isogroup20212,0.36
isogroup20213,-0.84
isogroup20214,-0.97
isogroup20215,0.41
isogroup20216,-0.12
isogroup20217,-0.01
isogroup20218,-0.34
isogroup20219,0.01
isogroup2022,-0.57
isogroup20220,-0.88
isogroup20221,-0.69
isogroup20222,0.41
isogroup20223,-0.12
isogroup20224,-0.16
isogroup20225,0.58
isogroup20226,0.04
isogroup20227,0.61
isogroup20228,0.75
isogroup20229,0.89
isogroup2023,0.26
isogroup20230,-0.38
isogroup20231,1.54
isogroup20232,1.01
isogroup20232.1,-0.22
isogroup20234,-0.39
isogroup20236,0.29
isogroup20237,4.42
isogroup20239,0.26
isogroup2024,0.57
isogroup20240,0.58
isogroup20241,-1.16
isogroup20242,-3.03
isogroup20243,-0.18
isogroup20244,0.49
isogroup20245,0.37
isogroup20246,0.06
isogroup20247,2.55
isogroup20248,-0.38
isogroup20249,-0.77
isogroup2025,0.39
isogroup20251,-0.09
isogroup20252,0.18
isogroup20253,-0.5
isogroup20254,-0.09
isogroup20255,0.14
isogroup20256,1.01
isogroup20257,-0.61
isogroup20258,4.69
isogroup20259,0
isogroup2026,-0.78
isogroup20261,0.29
isogroup20262,2.04
isogroup20263,0.93
isogroup20264,3.35
isogroup20265,-0.32
isogroup20266,-0.95
isogroup20267,-0.83
isogroup20268,0.19
isogroup20269,0.48
isogroup2027,0.71
isogroup20270,0.1
isogroup20271,-0.23
isogroup20272,0.11
isogroup20273,-0.71
isogroup20274,-0.02
isogroup20275,-1.49
isogroup20276,0.3
isogroup20277,0.36
isogroup20278,-0.01
isogroup20279,1.23
isogroup2028,-3.62
isogroup20280,0.23
isogroup20281,-0.19
isogroup20282,-0.14
isogroup20283,-0.48
isogroup20284,0.14
isogroup20285,-0.32
isogroup20286,-0.89
isogroup20287,-0.06
isogroup20288,0.65
isogroup20289,0.47
isogroup2029,-0.12
isogroup20292,-0.26
isogroup20293,-0.18
isogroup20294,0.12
isogroup20295,0.14
isogroup20296,-0.01
isogroup20297,-0.21
isogroup20298,0.08
isogroup20299,0.2
isogroup203,0.53
isogroup2030,-0.47
isogroup20300,0.4
isogroup20301,0.74
isogroup20302,-0.7
isogroup20303,-0.55
isogroup20304,-1.35
isogroup20305,0.37
isogroup20306,-0.33
isogroup20307,0.18
isogroup20308,-0.6
isogroup20309,0.3
isogroup2031,0.59
isogroup20310,0.05
isogroup20311,0
isogroup20312,-0.22
isogroup20313,0.57
isogroup20314,0.5
isogroup20315,-0.33
isogroup20316,0.11
isogroup20317,-0.85
isogroup20319,-0.19
isogroup2032,0.81
isogroup20320,0.31
isogroup20321,0
isogroup20322,-0.01
isogroup20323,0.12
isogroup20324,-0.28
isogroup20325,4.67
isogroup20326,-0.61
isogroup20327,-0.82
isogroup20328,1.68
isogroup20329,1.66
isogroup2033,-0.84
isogroup20330,1.09
isogroup20331,-0.18
isogroup20332,-0.06
isogroup20333,3.77
isogroup20334,-0.2
isogroup20335,0.29
isogroup20336,0.09
isogroup20337,-0.24
isogroup20338,-1.16
isogroup20339,-0.86
isogroup2034,-0.1
isogroup20340,6.72
isogroup20341,0.07
isogroup20342,1.54
isogroup20344,-0.15
isogroup20345,-0.05
isogroup20346,0.15
isogroup20347,0.4
isogroup20348,0.17
isogroup20349,-0.06
isogroup2035,-0.3
isogroup20350,-0.97
isogroup20352,-0.32
isogroup20353,-0.22
isogroup20354,-0.17
isogroup20355,0.03
isogroup20357,0.08
isogroup20358,0.35
isogroup20359,1.25
isogroup2036,2.08
isogroup20360,3.4
isogroup20361,0.27
isogroup20362,-0.58
isogroup20363,0.06
isogroup20364,1.69
isogroup20365,-0.63
isogroup20366,0.21
isogroup20367,0.12
isogroup20368,1.26
isogroup20369,-0.11
isogroup2037,0
isogroup20370,0.76
isogroup20371,-0.35
isogroup20372,-0.87
isogroup20373,4.58
isogroup20374,-0.07
isogroup20375,-0.24
isogroup20376,-0.12
isogroup20377,1.19
isogroup20378,0.03
isogroup20379,-0.42
isogroup2038,4.09
isogroup20380,-0.12
isogroup20381,0.35
isogroup20382,-0.53
isogroup20383,-0.36
isogroup20384,-1.31
isogroup20385,-0.65
isogroup20386,-0.42
isogroup20387,-0.39
isogroup20388,1.95
isogroup20389,-0.03
isogroup2039,-3.18
isogroup20390,-0.34
isogroup20391,0.16
isogroup20392,-0.39
isogroup20394,0.09
isogroup20395,-1.14
isogroup20396,0.18
isogroup20397,-2.09
isogroup20398,0.45
isogroup20399,-0.95
isogroup204,-6.76
isogroup2040,-1.68
isogroup20400,0.76
isogroup20401,0.14
isogroup20402,-0.13
isogroup20403,-1.05
isogroup20404,0.35
isogroup20405,-0.97
isogroup20406,1.51
isogroup20407,1.39
isogroup20408,0.09
isogroup20409,0.85
isogroup2041,0.36
isogroup20410,-0.91
isogroup20411,2.49
isogroup20412,-0.55
isogroup20413,0.17
isogroup20414,0.93
isogroup20415,-0.03
isogroup20416,-0.62
isogroup20418,-0.02
isogroup20419,1.76
isogroup2042,0.28
isogroup20420,1.28
isogroup20421,0.42
isogroup20422,1.25
isogroup20423,-0.99
isogroup20424,-0.11
isogroup20425,0.42
isogroup20426,1
isogroup20428,-0.08
isogroup20429,-0.14
isogroup2043,-0.38
isogroup20430,-0.2
isogroup20431,8.9
isogroup20432,0.29
isogroup20433,-0.04
isogroup20434,-1.28
isogroup20435,-0.53
isogroup20436,0
isogroup20437,-0.4
isogroup20438,0.55
isogroup20439,0.11
isogroup2044,-1.14
isogroup20440,0.26
isogroup20441,-0.27
isogroup20442,0.46
isogroup20443,0.14
isogroup20444,-0.44
isogroup20445,-0.04
isogroup20446,-0.06
isogroup20447,-0.29
isogroup20448,0.05
isogroup20449,0.21
isogroup2045,-2.54
isogroup20450,0.04
isogroup20451,0.96
isogroup20453,-0.6
isogroup20454,0.29
isogroup20455,2.49
isogroup20456,-3.87
isogroup20457,-0.24
isogroup20458,1.43
isogroup20459,-0.36
isogroup2046,0.21
isogroup20460,1.02
isogroup20461,0.05
isogroup20462,-1.96
isogroup20463,-0.3
isogroup20464,-0.84
isogroup20465,-2.12
isogroup20467,0.45
isogroup20468,1.59
isogroup20469,-0.14
isogroup2047,-0.22
isogroup20470,0.36
isogroup20471,1.36
isogroup20472,0.93
isogroup20473,0.05
isogroup20474,-0.32
isogroup20475,1.31
isogroup20476,2.34
isogroup20477,-0.04
isogroup20478,2.54
isogroup20479,-0.21
isogroup2048,-0.77
isogroup20480,-0.35
isogroup20481,-0.18
isogroup20482,-0.17
isogroup20483,0.49
isogroup20484,-0.82
isogroup20485,0.64
isogroup20486,-1.84
isogroup20487,1.11
isogroup20488,-0.49
isogroup20489,0.16
isogroup2049,0.2
isogroup20490,-0.05
isogroup20492,-0.18
isogroup20493,-0.29
isogroup20494,0.98
isogroup20495,-3.98
isogroup20496,-0.08
isogroup20497,-1.27
isogroup20498,-0.47
isogroup20499,0.66
isogroup205,0.01
isogroup2050,-0.1
isogroup20500,0.13
isogroup20501,-0.11
isogroup20502,1.14
isogroup20503,-1.57
isogroup20504,-0.41
isogroup20505,0.46
isogroup20506,0.6
isogroup20507,3.45
isogroup20508,1.57
isogroup20509,-0.25
isogroup2051,0.25
isogroup20511,0.81
isogroup20512,-0.15
isogroup20513,-0.6
isogroup20514,-0.27
isogroup20515,-0.42
isogroup20517,-1.07
isogroup20518,0
isogroup20519,0.32
isogroup2052,-0.08
isogroup20520,1.03
isogroup20521,0.18
isogroup20522,0.45
isogroup20523,-0.31
isogroup20524,-0.5
isogroup20525,-1.09
isogroup20526,0.34
isogroup20527,0
isogroup20528,0.29
isogroup20529,0.04
isogroup2053,-0.45
isogroup20530,0.11
isogroup20531,0.36
isogroup20532,0.24
isogroup20533,-0.56
isogroup20534,0.43
isogroup20535,0.74
isogroup20536,-0.8
isogroup20537,-0.25
isogroup20538,0.1
isogroup20539,-1.02
isogroup2054,-2.27
isogroup20540,-0.03
isogroup20541,-0.22
isogroup20542,-0.38
isogroup20543,-0.17
isogroup20544,-0.03
isogroup20545,0.22
isogroup20546,-0.12
isogroup20547,0.69
isogroup20548,-1.23
isogroup20549,0.11
isogroup2055,-0.14
isogroup20550,-0.52
isogroup20551,-1.96
isogroup20552,0.28
isogroup20553,-0.32
isogroup20554,-0.48
isogroup20555,0.1
isogroup20556,-0.14
isogroup20557,-0.07
isogroup20558,-0.57
isogroup20559,1.14
isogroup2056,0.21
isogroup20560,-1.68
isogroup20561,0.79
isogroup20562,3.99
isogroup20563,-1.29
isogroup20564,-0.1
isogroup20565,-0.24
isogroup20566,-0.57
isogroup20567,-0.32
isogroup20568,-0.02
isogroup2057,0.32
isogroup20571,0.4
isogroup20572,-1.08
isogroup20573,-0.26
isogroup20574,-1.11
isogroup20575,0.32
isogroup20576,-2.72
isogroup20577,-0.06
isogroup20578,-0.36
isogroup20579,-0.03
isogroup2058,1.9
isogroup20580,-0.45
isogroup20581,0.16
isogroup20582,0.22
isogroup20583,0.29
isogroup20584,0.53
isogroup20585,0.37
isogroup20586,0.35
isogroup20587,-0.72
isogroup20588,-0.77
isogroup20589,0.21
isogroup2059,-0.12
isogroup20590,1.17
isogroup20591,-0.22
isogroup20592,5.99
isogroup20593,-0.4
isogroup20594,-0.2
isogroup20595,0.08
isogroup20596,-0.96
isogroup20597,-0.02
isogroup20598,0.03
isogroup20599,-0.07
isogroup206,-1.83
isogroup2060,0.21
isogroup20600,0.66
isogroup20601,0.31
isogroup20602,-0.1
isogroup20603,-0.05
isogroup20604,2.23
isogroup20605,0.33
isogroup20606,-2.3
isogroup20607,0.23
isogroup20608,0.06
isogroup20609,-1.01
isogroup2061,-0.02
isogroup20610,-0.1
isogroup20612,1.45
isogroup20613,0.25
isogroup20614,-0.19
isogroup20615,0.85
isogroup20616,0.3
isogroup20617,-0.17
isogroup20618,0.12
isogroup20619,-0.52
isogroup2062,0.3
isogroup20620,-2.33
isogroup20621,0.39
isogroup20622,0.58
isogroup20623,-0.68
isogroup20624,0.15
isogroup20625,0.1
isogroup20626,1.14
isogroup20627,0.47
isogroup20628,-0.36
isogroup20629,0.39
isogroup2063,-0.36
isogroup20630,4.65
isogroup20631,0.18
isogroup20632,-0.09
isogroup20633,0.67
isogroup20634,-0.04
isogroup20636,-0.11
isogroup20637,0.97
isogroup20638,-0.8
isogroup20639,0.21
isogroup2064,6.1
isogroup20640,-0.11
isogroup20641,-0.4
isogroup20642,0.22
isogroup20643,1.52
isogroup20645,0.03
isogroup20646,0.67
isogroup20647,-0.25
isogroup20648,-0.75
isogroup20649,-0.12
isogroup2065,-0.26
isogroup20650,1.37
isogroup20651,-1.68
isogroup20652,-0.18
isogroup20653,0.92
isogroup20654,0.69
isogroup20655,-0.15
isogroup20656,-0.81
isogroup20657,-0.25
isogroup20658,-0.11
isogroup20659,0.06
isogroup2066,-0.49
isogroup20660,0.17
isogroup20661,0.51
isogroup20663,0.19
isogroup20666,0.17
isogroup20667,0.07
isogroup20668,-0.94
isogroup20669,-0.08
isogroup2067,-2.51
isogroup20670,-0.46
isogroup20671,2
isogroup20672,0.94
isogroup20673,-0.4
isogroup20674,-0.89
isogroup20675,-0.63
isogroup20676,1.04
isogroup20677,-2.3
isogroup20678,0.48
isogroup20679,0.13
isogroup2068,3.46
isogroup20680,0.58
isogroup20681,-0.1
isogroup20682,-0.42
isogroup20683,0.77
isogroup20684,-0.08
isogroup20686,-0.03
isogroup20687,0.24
isogroup20688,-0.22
isogroup20689,-0.14
isogroup2069,1.35
isogroup20690,-0.88
isogroup20691,-0.28
isogroup20693,0.06
isogroup20694,-0.47
isogroup20695,-0.06
isogroup20696,-0.7
isogroup20697,-1.89
isogroup20698,-1.24
isogroup20699,0.37
isogroup207,-0.24
isogroup2070,0.64
isogroup20700,-1.64
isogroup20701,0.61
isogroup20702,0.26
isogroup20703,7.16
isogroup20704,-0.25
isogroup20705,0.51
isogroup20706,2.18
isogroup20707,0.69
isogroup20708,0.18
isogroup20709,0.08
isogroup2071,-3.09
isogroup20710,0.05
isogroup20711,1.13
isogroup20712,-3.56
isogroup20713,-1.06
isogroup20714,3.06
isogroup20715,-0.86
isogroup20716,-0.72
isogroup20717,0.1
isogroup20718,-0.36
isogroup20719,-2.18
isogroup2072,-0.34
isogroup20720,1.28
isogroup20721,0.69
isogroup20722,0.04
isogroup20723,-0.09
isogroup20724,0.84
isogroup20725,0.15
isogroup20726,0.29
isogroup20727,-2.11
isogroup20728,-0.22
isogroup20729,0.04
isogroup2073,0.84
isogroup20730,0.33
isogroup20731,-0.78
isogroup20732,-0.76
isogroup20733,1.05
isogroup20734,0.85
isogroup20735,-0.13
isogroup20736,-0.51
isogroup20737,0.29
isogroup20738,0.16
isogroup20739,0.11
isogroup2074,0.99
isogroup20740,0.12
isogroup20741,-1.08
isogroup20742,-0.65
isogroup20743,0.04
isogroup20744,0.66
isogroup20745,-1.04
isogroup20746,-1.2
isogroup20747,0.66
isogroup20748,-0.32
isogroup20749,0.67
isogroup2075,-0.07
isogroup20750,-1.95
isogroup20751,-0.55
isogroup20752,0.58
isogroup20753,1.21
isogroup20754,0.37
isogroup20755,0.15
isogroup20756,0.21
isogroup20757,-0.16
isogroup20758,-0.06
isogroup20759,0.1
isogroup2076,0.5
isogroup20760,-0.05
isogroup20761,-0.22
isogroup20762,0.54
isogroup20763,-2.09
isogroup20764,0.11
isogroup20765,2.18
isogroup20766,0.12
isogroup20767,0.25
isogroup20768,0.2
isogroup20769,0.18
isogroup2077,-0.19
isogroup20770,-0.24
isogroup20771,-0.75
isogroup20772,0.69
isogroup20773,-0.56
isogroup20774,-1.56
isogroup20775,-0.83
isogroup20776,0.98
isogroup20777,-1.15
isogroup20778,0.11
isogroup20779,1.42
isogroup2078,-3.73
isogroup20780,-0.13
isogroup20781,2.02
isogroup20782,0.71
isogroup20783,1.16
isogroup20784,0.38
isogroup20785,-0.23
isogroup20786,0.24
isogroup20787,0.7
isogroup20788,-0.41
isogroup2079,0.97
isogroup20790,-0.67
isogroup20791,-0.26
isogroup20792,-0.46
isogroup20793,0.04
isogroup20794,0.35
isogroup20795,0.05
isogroup20796,-0.39
isogroup20797,0.37
isogroup20798,-0.36
isogroup20799,-0.22
isogroup208,0.24
isogroup2080,-1.19
isogroup20801,-0.2
isogroup20802,1.05
isogroup20803,-0.14
isogroup20804,1.19
isogroup20805,1.15
isogroup20806,-0.07
isogroup20807,-0.07
isogroup20808,-0.17
isogroup2081,-0.75
isogroup20810,-0.2
isogroup20811,-0.27
isogroup20812,0.18
isogroup20814,2.36
isogroup20815,0.22
isogroup20816,-0.49
isogroup20817,0.26
isogroup20818,-0.17
isogroup20819,0.45
isogroup2082,0.31
isogroup20820,0.68
isogroup20821,-0.35
isogroup20822,1.72
isogroup20823,0.08
isogroup20824,-0.21
isogroup20825,-0.38
isogroup20826,-0.86
isogroup20827,-1.48
isogroup20828,-0.51
isogroup20829,1.56
isogroup2083,-0.47
isogroup20830,0.16
isogroup20831,-0.42
isogroup20832,-1.8
isogroup20833,-0.01
isogroup20834,0.1
isogroup20835,-0.17
isogroup20836,4.59
isogroup20837,0.26
isogroup20838,1.33
isogroup20839,0.4
isogroup2084,0.12
isogroup20840,2.98
isogroup20841,2.44
isogroup20842,0.01
isogroup20843,0.4
isogroup20844,0.02
isogroup20845,-1.2
isogroup20846,0.51
isogroup20847,0.27
isogroup20848,1.04
isogroup20849,-2.36
isogroup2085,0.62
isogroup20850,-0.46
isogroup20851,-0.23
isogroup20852,0.07
isogroup20853,-0.35
isogroup20855,0.08
isogroup20856,-0.8
isogroup20857,1.05
isogroup20858,0.41
isogroup20859,5.32
isogroup2086,-0.67
isogroup20860,1.01
isogroup20863,0.19
isogroup20864,-0.03
isogroup20865,-0.59
isogroup20866,-1.2
isogroup20868,-0.26
isogroup20869,0.33
isogroup2087,-0.18
isogroup20870,-0.28
isogroup20871,1.14
isogroup20871.1,-0.24
isogroup20872,-0.74
isogroup20873,0.33
isogroup20875,-0.02
isogroup20876,0.58
isogroup20877,0.07
isogroup20878,-0.05
isogroup20879,2.1
isogroup2088,-0.01
isogroup20880,0.7
isogroup20881,-0.14
isogroup20882,-3.22
isogroup20883,0.3
isogroup20884,-0.17
isogroup20885,-0.02
isogroup20886,0.97
isogroup20887,0.06
isogroup20888,-0.56
isogroup20889,3.41
isogroup2089,-0.64
isogroup20890,0.58
isogroup20891,-0.11
isogroup20892,-0.05
isogroup20895,-2.97
isogroup20896,0.16
isogroup20897,-0.18
isogroup20898,-0.21
isogroup20899,-0.06
isogroup209,0.01
isogroup2090,0.74
isogroup20900,-3.51
isogroup20901,-0.07
isogroup20902,-0.43
isogroup20903,-0.28
isogroup20904,7.25
isogroup20905,1.06
isogroup20906,-0.55
isogroup20907,-1.19
isogroup20908,-0.32
isogroup20909,5.13
isogroup2091,-0.34
isogroup20910,-0.32
isogroup20911,0.36
isogroup20912,-0.54
isogroup20913,0.69
isogroup20914,-0.35
isogroup20915,-6.02
isogroup20916,-1.15
isogroup20917,0.12
isogroup20918,-0.2
isogroup20919,0.56
isogroup2092,0.16
isogroup20920,0.48
isogroup20921,-0.76
isogroup20922,-0.38
isogroup20923,0.9
isogroup20924,-0.68
isogroup20925,-0.3
isogroup20926,-0.11
isogroup20927,-0.24
isogroup20928,0.12
isogroup20929,0.43
isogroup2093,1.06
isogroup20930,-0.12
isogroup20931,-0.4
isogroup20933,0.42
isogroup20934,-0.05
isogroup20935,-0.06
isogroup20936,0.92
isogroup20937,-0.09
isogroup20938,0.06
isogroup20939,-0.42
isogroup2094,0.32
isogroup20940,0.31
isogroup20941,0.02
isogroup20942,-0.16
isogroup20944,-0.08
isogroup20945,-0.49
isogroup20946,0.54
isogroup20947,-4.22
isogroup20948,0.03
isogroup20949,0.03
isogroup2095,-1.87
isogroup20950,-0.15
isogroup20951,0.47
isogroup20952,0.08
isogroup20953,2.28
isogroup20954,0.16
isogroup20955,-1.25
isogroup20956,0.55
isogroup20957,-0.07
isogroup20958,0.19
isogroup20959,0.43
isogroup2096,0.21
isogroup20960,-0.29
isogroup20961,-0.7
isogroup20962,-1.11
isogroup20963,0.17
isogroup20964,2.62
isogroup20965,0.04
isogroup20966,-0.26
isogroup20967,1.18
isogroup20968,-0.53
isogroup20969,0.11
isogroup2097,-2.15
isogroup20970,1.4
isogroup20971,0.28
isogroup20972,1.5
isogroup20973,0.26
isogroup20975,0.29
isogroup20976,-0.04
isogroup20977,2.8
isogroup20978,0.68
isogroup20979,-0.09
isogroup2098,-1.04
isogroup20980,0.32
isogroup20981,-0.5
isogroup20982,-0.62
isogroup20983,0.24
isogroup20984,1.03
isogroup20985,-0.23
isogroup20986,0.26
isogroup20987,-0.54
isogroup20988,-0.36
isogroup20989,0.56
isogroup2099,-0.01
isogroup20990,-8.26
isogroup20991,-0.47
isogroup20992,0.13
isogroup20993,-0.79
isogroup20994,-0.84
isogroup20995,-0.35
isogroup20996,-0.08
isogroup20997,0.04
isogroup20998,1.94
isogroup20999,-0.51
isogroup21,-0.31
isogroup210,0.15
isogroup2100,-2.2
isogroup21000,-0.69
isogroup21001,0.35
isogroup21002,0.01
isogroup21003,0.45
isogroup21004,-0.91
isogroup21005,0.09
isogroup21006,0.92
isogroup21008,-1.11
isogroup21009,-0.32
isogroup2101,-2.39
isogroup21010,-0.43
isogroup21011,0.03
isogroup21012,4.95
isogroup21013,0.86
isogroup21014,-0.23
isogroup21015,0.07
isogroup21016,0.03
isogroup21017,3.96
isogroup21018,0.07
isogroup21019,6.01
isogroup2102,-0.01
isogroup21020,4.09
isogroup21021,0.51
isogroup21022,-1.95
isogroup21024,2.15
isogroup21025,-0.23
isogroup21026,-0.13
isogroup21027,1.3
isogroup21029,0.02
isogroup2103,1.78
isogroup21030,-0.01
isogroup21031,2.1
isogroup21032,-0.02
isogroup21033,0.05
isogroup21034,0.11
isogroup21035,-1.08
isogroup21036,-2.09
isogroup21037,-0.47
isogroup21038,0.81
isogroup21039,0.81
isogroup2104,0.14
isogroup21040,-0.11
isogroup21041,0.4
isogroup21042,0.31
isogroup21043,1.58
isogroup21044,-0.02
isogroup21045,-0.45
isogroup21046,0.06
isogroup21047,0.61
isogroup21048,0.17
isogroup21049,-0.72
isogroup2105,-0.04
isogroup21050,-0.3
isogroup21051,0.82
isogroup21052,0.29
isogroup21053,-0.26
